objective,scenario,dimension,metric,direction,algorithm,n_episode_artifacts,mean,median,std,min,max,coverage,best_by_episode_mean,best_inferential_sample,best_final_annual_kpi,kw_algorithms,kw_h,kw_p,kw_epsilon2,shapiro_p
OE.1,E1,flexibilidad energetica,reward_mean_average,max,HAPPO,49,-0.6302595084115008,-0.6303079866851847,0.02129417497409981,-0.7062119254468171,-0.5952638351180066,49 episodio(s) conservado(s),MAAC,MAAC,MASAC,"MAAC, MASAC, MATD3",36.3082735016598,1.305445018674662e-08,0.23338961565754965,
OE.1,E1,flexibilidad energetica,reward_mean_average,max,MAAC,50,-0.6051573274768176,-0.6126499299083629,0.01469522304963422,-0.6214699934294116,-0.5844288248600668,50 episodios por artefacto,MAAC,MAAC,MASAC,"MAAC, MASAC, MATD3",36.3082735016598,1.305445018674662e-08,0.23338961565754965,8.482652447128203e-08
OE.1,E1,flexibilidad energetica,reward_mean_average,max,MASAC,50,-0.6133306039931887,-0.6198266866174633,0.01412416445640462,-0.627759154809035,-0.5895927763098163,50 episodios por artefacto,MAAC,MAAC,MASAC,"MAAC, MASAC, MATD3",36.3082735016598,1.305445018674662e-08,0.23338961565754965,1.3063412040992262e-07
OE.1,E1,flexibilidad energetica,reward_mean_average,max,MATD3,50,-0.6330435627356475,-0.6208251460013352,0.047048733323753616,-0.7408485589329936,-0.5917727467841729,50 episodios por artefacto,MAAC,MAAC,MASAC,"MAAC, MASAC, MATD3",36.3082735016598,1.305445018674662e-08,0.23338961565754965,4.9697614912247445e-09
OE.2,E2,emisiones de CO2,district_emission,min,HAPPO,49,883.002641347598,804.8168544769287,287.0341449376863,468.0088188648224,1524.4026834964752,49 episodio(s) conservado(s),HAPPO,MAAC,MASAC,"MAAC, MASAC, MATD3",6.2532479338695355,0.043865639401386027,0.028933659414078473,
OE.2,E2,emisiones de CO2,district_emission,min,MAAC,50,1056.3903547742964,1132.6330785155296,99.38122954609373,873.2478264793754,1139.5708111524582,50 episodios por artefacto,HAPPO,MAAC,MASAC,"MAAC, MASAC, MATD3",6.2532479338695355,0.043865639401386027,0.028933659414078473,1.0447892329068509e-08
OE.2,E2,emisiones de CO2,district_emission,min,MASAC,50,1078.3684531803428,1132.6354122161863,121.10072678518515,925.744892977178,1638.739361666143,50 episodios por artefacto,HAPPO,MAAC,MASAC,"MAAC, MASAC, MATD3",6.2532479338695355,0.043865639401386027,0.028933659414078473,1.4532379566389864e-07
OE.2,E2,emisiones de CO2,district_emission,min,MATD3,50,1132.1936166521907,1137.4043860435486,236.7844866778913,925.7448759749532,1864.838984489441,50 episodios por artefacto,HAPPO,MAAC,MASAC,"MAAC, MASAC, MATD3",6.2532479338695355,0.043865639401386027,0.028933659414078473,2.921810016154325e-10
OE.3,E3,costos energeticos,district_cost,min,HAPPO,49,352.5740728388179,232.48682975769043,381.71262806025305,-4.816800355911255e-06,1415.9390910863876,49 episodio(s) conservado(s),HAPPO,MATD3,MAAC,"MAAC, MASAC, MATD3",2.7612540944578474,0.2514208508737303,0.005178599282026173,
OE.3,E3,costos energeticos,district_cost,min,MAAC,50,795.3938091005385,689.5406326055527,211.95614407345911,643.3719779960811,1138.8163677453997,50 episodios por artefacto,HAPPO,MATD3,MAAC,"MAAC, MASAC, MATD3",2.7612540944578474,0.2514208508737303,0.005178599282026173,1.1234708718887987e-09
OE.3,E3,costos energeticos,district_cost,min,MASAC,50,812.1612727615982,689.5406340360641,206.37617819223811,643.3719608299434,1192.3209606409073,50 episodios por artefacto,HAPPO,MATD3,MAAC,"MAAC, MASAC, MATD3",2.7612540944578474,0.2514208508737303,0.005178599282026173,5.34453548084457e-09
OE.3,E3,costos energeticos,district_cost,min,MATD3,50,759.2885912102461,690.9834417104721,303.87941031021415,13.438952386379242,1143.6113492250445,50 episodios por artefacto,HAPPO,MATD3,MAAC,"MAAC, MASAC, MATD3",2.7612540944578474,0.2514208508737303,0.005178599282026173,5.992915248498321e-07
